item_id,order_id,product_id,quantity
1,736,57,2
2,1088,83,1
3,1471,11,3
4,2056,66,5
5,2637,11,3
6,933,13,1
7,293,47,1
8,2237,26,3
9,806,87,3
10,1025,39,3
11,781,91,5
12,565,97,5
13,1070,2,3
14,1155,45,4
15,1662,75,1
16,1934,84,5
17,612,51,2
18,930,93,2
19,1944,30,5
20,2405,71,4
21,2960,60,3
22,352,41,2
23,1757,99,4
24,859,57,4
25,2288,4,3
26,570,74,2
27,1252,95,1
28,2048,85,3
29,1392,29,4
30,1744,88,4
31,2829,69,3
32,1336,76,1
33,2325,5,2
34,630,43,5
35,2580,78,5
36,2351,51,4
37,837,51,1
38,2190,50,2
39,1945,14,3
40,2333,58,3
41,382,22,1
42,2765,71,2
43,132,89,5
44,2002,4,2
45,816,9,4
46,1163,27,2
47,1193,85,5
48,287,59,1
49,1510,67,1
50,704,42,4
51,1602,21,1
52,529,69,4
53,1959,96,1
54,1594,27,2
55,843,40,4
56,2907,86,4
57,651,78,5
58,1272,76,2
59,2059,92,4
60,1129,26,1
61,585,58,1
62,1636,78,2
63,2154,43,5
64,2011,59,4
65,2360,6,1
66,1180,83,4
67,1421,90,3
68,1602,79,2
69,1701,32,2
70,2531,94,4
71,1876,50,2
72,2862,73,1
73,1612,90,1
74,982,21,3
75,2573,69,3
76,2731,9,2
77,2022,53,5
78,497,48,1
79,431,65,3
80,1680,58,2
81,1036,27,5
82,183,60,1
83,300,82,4
84,1562,44,4
85,797,51,1
86,44,33,1
87,2905,18,3
88,2746,96,4
89,1986,60,1
90,339,71,2
91,2923,57,2
92,1929,36,2
93,699,3,5
94,412,23,3
95,509,69,4
96,690,10,1
97,2775,35,2
98,1805,46,2
99,888,92,1
100,2765,69,2
101,1811,90,1
102,2601,67,1
103,1600,89,3
104,1819,7,5
105,20,7,4
106,827,32,3
107,978,26,1
108,66,54,1
109,60,44,2
110,2786,86,1
111,904,13,2
112,2966,22,1
113,1703,66,1
114,1340,42,5
115,2568,25,5
116,849,70,4
117,1753,16,2
118,876,14,3
119,1325,23,1
120,1648,84,3
121,50,50,2
122,1880,29,1
123,2696,36,5
124,1512,6,1
125,896,53,3
126,2453,64,1
127,2919,69,5
128,703,33,1
129,2458,42,4
130,2777,99,2
131,1361,23,3
132,2730,62,1
133,1373,3,5
134,2397,58,4
135,2094,82,2
136,2063,76,1
137,953,3,5
138,509,40,2
139,1756,97,2
140,2539,11,1
141,564,48,4
142,1215,26,2
143,1540,27,1
144,976,93,5
145,1818,95,3
146,550,36,3
147,2637,98,1
148,2134,54,3
149,98,30,3
150,1404,32,2
151,2210,7,2
152,2816,90,2
153,2491,49,5
154,1318,24,4
155,2580,1,1
156,2014,9,2
157,214,82,2
158,837,17,1
159,712,76,5
160,838,31,5
161,321,55,4
162,1276,22,2
163,1004,55,2
164,2482,32,3
165,1169,74,4
166,2604,26,3
167,1971,11,3
168,1632,49,2
169,1929,57,4
170,2070,79,4
171,639,62,1
172,1563,55,1
173,1230,77,5
174,626,71,2
175,1054,49,4
176,1253,59,3
177,1537,72,5
178,1970,10,3
179,560,92,4
180,802,20,2
181,18,2,5
182,2992,93,3
183,2013,52,4
184,1617,96,3
185,1574,63,3
186,2626,76,1
187,1675,5,1
188,1577,73,2
189,796,98,4
190,1046,99,3
191,2088,91,4
192,2601,89,3
193,2853,8,4
194,1737,95,2
195,993,62,1
196,1481,81,1
197,2857,86,2
198,1071,78,4
199,2790,19,3
200,1014,78,5
201,2715,21,1
202,479,99,1
203,2640,92,4
204,1629,91,5
205,330,67,2
206,1733,22,4
207,1036,89,3
208,2051,69,4
209,2401,40,4
210,2981,12,1
211,2606,74,3
212,585,35,2
213,1631,90,3
214,27,22,4
215,7,13,1
216,2853,54,5
217,1708,84,3
218,1766,22,2
219,1535,24,2
220,812,63,2
221,2059,15,4
222,2323,28,2
223,824,8,2
224,786,34,4
225,1806,81,5
226,448,82,2
227,327,38,1
228,1548,16,3
229,264,44,1
230,2399,31,4
231,1988,87,1
232,39,8,3
233,30,86,5
234,172,13,2
235,2140,1,4
236,2470,67,3
237,1991,61,3
238,2476,55,3
239,1519,88,3
240,1292,31,3
241,2725,52,4
242,2502,8,3
243,1353,13,1
244,1872,90,4
245,2971,18,1
246,2466,16,5
247,1145,90,2
248,1510,58,5
249,2811,85,4
250,2110,53,2
251,13,82,3
252,69,82,3
253,188,95,3
254,2777,57,2
255,2486,63,4
256,2510,11,3
257,1753,61,1
258,1577,38,5
259,800,92,2
260,2131,74,5
261,131,17,4
262,357,39,5
263,1913,22,4
264,474,62,5
265,987,32,2
266,699,97,1
267,433,56,1
268,657,42,4
269,1149,29,3
270,2728,61,1
271,2726,18,5
272,2596,93,4
273,371,89,3
274,917,74,5
275,265,83,3
276,1545,92,4
277,2679,83,5
278,1790,30,2
279,1062,15,3
280,360,15,1
281,1394,95,5
282,771,96,1
283,2347,48,2
284,1284,49,5
285,7,40,1
286,2417,69,2
287,1590,55,3
288,1496,87,2
289,2129,85,5
290,2420,29,1
291,1620,2,5
292,1887,41,2
293,1216,29,4
294,2786,59,2
295,2464,37,2
296,2726,90,1
297,2454,41,3
298,2058,89,1
299,1121,91,5
300,1960,81,2
301,2028,38,-2
302,241,43,2
303,2936,27,2
304,2869,95,1
305,734,63,4
306,1226,85,2
307,89,71,4
308,1383,55,4
309,1427,97,4
310,1602,10,5
311,2977,37,3
312,2853,25,5
313,1613,13,2
314,1325,97,5
315,222,91,3
316,1875,84,2
317,2365,18,4
318,2851,62,3
319,594,27,2
320,802,95,1
321,1484,93,5
322,418,87,2
323,1543,55,2
324,231,13,3
325,1941,23,1
326,481,66,3
327,2431,56,2
328,2569,93,4
329,1004,5,1
330,987,51,4
331,1240,89,5
332,707,84,4
333,2834,86,1
334,1900,84,4
335,1128,81,4
336,1505,2,1
337,478,11,1
338,2004,83,5
339,922,3,5
340,2347,74,4
341,1122,89,1
342,2429,24,4
343,1984,83,4
344,1223,74,2
345,408,42,1
346,2924,69,2
347,1661,90,1
348,1613,72,5
349,2172,63,1
350,2126,75,5
351,2924,84,1
352,850,85,1
353,741,77,2
354,22,72,4
355,1288,16,1
356,528,74,2
357,2674,21,1
358,2304,33,1
359,347,16,5
360,1223,47,5
361,703,55,1
362,1018,39,1
363,2128,38,5
364,1823,18,5
365,2009,89,3
366,2141,46,5
367,2205,66,2
368,2818,13,1
369,972,5,2
370,581,39,2
371,550,78,5
372,885,76,-2
373,1137,17,5
374,1729,10,5
375,1045,34,4
376,2662,21,4
377,1869,11,3
378,2772,55,2
379,2196,27,1
380,2579,94,3
381,2594,90,2
382,2927,48,5
383,2693,83,5
384,2478,21,4
385,629,41,4
386,1553,4,5
387,1014,10,3
388,511,69,1
389,2802,71,4
390,271,43,1
391,1487,43,3
392,600,29,3
393,41,13,4
394,911,49,1
395,506,23,5
396,2984,40,5
397,2006,13,5
398,1430,90,5
399,1156,71,3
400,2489,13,1
401,700,41,4
402,741,45,5
403,2260,77,4
404,1954,76,2
405,1062,2,5
406,2922,20,2
407,585,49,5
408,1096,7,3
409,2898,100,2
410,2778,78,4
411,2895,59,2
412,1798,46,4
413,2058,37,3
414,1753,67,2
415,1251,82,1
416,1252,53,3
417,370,82,1
418,315,94,2
419,384,22,5
420,236,11,3
421,2270,64,1
422,1737,87,5
423,2994,18,4
424,2040,66,5
425,2859,16,4
426,57,79,2
427,30,92,4
428,2878,69,3
429,1001,95,5
430,2802,78,1
431,2488,58,2
432,2763,98,5
433,922,23,1
434,1504,18,5
435,1448,7,4
436,2030,49,2
437,1529,15,3
438,2782,32,5
439,483,38,3
440,1979,38,3
441,873,1,5
442,1613,28,3
443,2634,66,1
444,1897,80,4
445,236,46,1
446,2522,59,3
447,1223,46,1
448,22,45,2
449,1647,46,1
450,416,56,4
451,810,11,5
452,2107,20,4
453,508,63,1
454,638,99,3
455,927,61,4
456,1534,39,3
457,1755,24,5
458,1104,14,4
459,2689,57,2
460,573,46,4
461,24,46,2
462,454,25,-2
463,165,18,4
464,1725,96,3
465,130,21,2
466,1964,86,3
467,487,54,4
468,2254,64,2
469,1331,97,4
470,2056,93,4
471,539,15,1
472,87,17,2
473,1410,65,1
474,2804,31,1
475,2779,44,4
476,2446,95,1
477,1780,62,3
478,1156,63,1
479,1757,32,5
480,625,94,5
481,766,32,3
482,472,34,2
